partner;marriage;farewell;divorce;separation;education;work
;18;;;18;;17
;23;;;23;17;17
;29;;;20;24;20
;;26;;18;18;26
;23;;;24;23;23
;28;;;17;22;23
;29;;;18;17;18
24;31;32;32;17;30;18
;23;;;23;19;19
;22;;;23;20;20
;26;;;38;21;21
;22;;;20;18;18
;20;;;24;18;19
;;;;24;;18
;17;;;17;;18
;;;;22;25;20
;;;;15;;15
22;23;;;18;22;18
;21;;;21;18;20
;21;;;24;20;20
;20;;54;35;16;18
;21;;;21;21;22
;21;;;21;;17
;20;;;17;20;20
;21;;;21;;22
;21;;;18;17;18
;26;;;54;19;19
;21;;;17;22;23
;19;;;19;;18
;17;;;3;;15
;29;;;18;19;24
;26;;;26;20;17
;;;;19;18;18
28;29;;;29;20;18
;19;;;15;17;15
;31;;;18;32;16
;23;;28;18;23;27
;25;;;26;27;18
;21;;;21;;18
;21;;;18;24;21
;24;;;17;20;20
;25;;;26;18;18
;19;;;17;18;18
;23;;;39;20;20
;23;;;25;21;23
;19;;36;13;18;24
;19;;;17;19;18
;21;;;21;17;19
;20;;;17;19;19
;24;;;16;17;18
;18;;;18;45;18
;22;;;17;22;17
;19;;;15;18;18
;19;;;19;25;18
;27;;;27;28;19
27;28;;;53;18;18
;23;;;22;21;21
;19;;27;19;20;16
;23;;;25;18;18
;21;;;21;23;20
;23;;;23;25;18
;25;;;25;23;23
;19;;27;16;;16
;20;;;17;25;19
;20;;;20;19;23
;23;;;17;29;17
;22;;;30;18;20
;;;;18;18;20
;25;;;25;21;21
;18;;;18;18;18
;21;;;21;19;19
;23;;;20;23;16
24;25;;;18;37;37
;;;;17;19;19
;;;;15;17;25
;24;;;24;40;20
30;31;;;20;29;20
;22;;;17;22;22
;21;;;17;20;20
;20;;;17;21;23
;23;;;24;24;24
;18;;;18;;19
;26;;;26;;22
;20;;;20;24;29
;20;;;17;22;26
;17;;;34;23;23
;21;;;24;18;21
;19;;;19;;16
;19;;20;19;;19
21;21;;;21;18;20
31;31;32;33;31;20;20
;19;;35;18;19;19
;;;;19;;17
;;22;;21;;18
;20;;;17;18;17
18;18;;;17;18;18
23;24;34;;25;21;15
;20;;23;20;;16
;;;;20;;20
24;51;26;;43;19;17
;21;;43;27;25;18
;24;;;22;37;25
;18;;26;20;18;18
;24;;;24;20;22
;;;;29;21;23
;20;;;16;19;21
;21;;;21;19;19
;;;;23;;21
;21;;;21;;16
;;;;24;;17
23;27;;;25;24;20
;24;;;25;;20
;;32;;16;;5
;24;;;23;17;20
;19;;;19;;15
;21;;;21;;17
20;22;74;;20;;20
;25;;;21;;17
;24;;;32;18;20
;23;;;34;21;34
;19;;;22;;17
;25;;;18;26;24
;;;;20;;10
;20;;;15;17;21
;25;;;25;;18
;29;;;35;19;21
;17;;;17;;17
;21;;;21;19;21
24;25;47;;26;26;28
;19;;;17;20;33
;21;;;21;;19
34;35;;;19;18;18
;22;;;23;20;15
;24;;30;22;17;17
;23;;;23;;17
;23;;;31;;20
;;44;;18;39;21
;;;;22;;15
;21;;;18;20;18
;;;;17;26;26
;20;;;19;19;19
;21;;23;21;;17
;21;;41;17;19;19
;18;;;23;18;18
;26;;;16;15;15
;28;;;38;20;20
;20;;;21;20;20
;23;;;32;18;21
;15;;;16;;19
;21;;;22;43;21
;22;;;17;22;23
;;;;32;26;20
;;;;31;21;21
;23;;;18;22;22
;30;;;30;17;20
;23;;24;17;39;17
;23;;;24;22;28
;27;;;27;25;25
;;39;;43;32;32
;28;;;28;22;22
;20;;;21;20;20
;20;;;15;20;35
;25;;;25;19;19
;24;;25;32;20;21
;22;;;23;18;20
;30;;;33;22;22
;;;;23;;18
;19;;;19;21;21
;19;;;23;18;18
;19;;;21;19;19
;22;;;24;17;17
;;33;;30;25;25
;27;;28;31;;18
;23;;;23;;14
;;;;24;;17
;;;;18;;17
;18;;19;15;19;17
;20;;;17;21;20
;21;;;17;20;20
;24;;;38;19;22
19;20;;;15;19;19
;;;;15;19;22
;20;;;18;21;21
;22;;;17;22;22
;20;;;18;18;18
;23;;;17;21;21
21;22;;;15;17;17
;26;;;15;17;13
;23;;;24;19;21
