id,auto_number,auto_brand,compensated,too_much
1,Y163O8161RUS,Ford Focus,3200,1
2,E432XX77RUS,Toyota Camry,6500,0
3,7184TT36RUS,Ford Focus,2100,0
4,X582HE161RUS,Ford Focus,2000,1
5,E34877152RUS,Ford Focus,6100,1
6,92918M178RUS,Ford Focus,5700,0
7,E53488152RUS,Ford Focus,1800,1
8,X4128H125RUS,Ford Focus,500,0
9,C593EY154RUS,Ford Focus,1000,0
10,8049HT125RUS,Ford Focus,500,0
11,H234YH197RUS,Ford Focus,6000,1
12,E40577152RUS,Ford Focus,500,0
13,707987163RUS,Ford Focus,2200,1
14,K330T8197RUS,Skoda Octavia,8200,1
15,X786CO96RUS,Ford Focus,1000,0
16,C477M7161RUS,Ford Focus,2500,0
17,O21997197RUS,Ford Focus,2000,0
18,M592CH197RUS,Skoda Octavia,7000,1
19,9020YC197RUS,Skoda Octavia,145000,1
20,8182XX154RUS,Ford Focus,200,0
21,7830C8197RUS,Ford Focus,5100,1
22,9408H7178RUS,Skoda Octavia,1000,0
23,7066C8197RUS,Volkswagen Passat,15000,1
24,M298CH161RUS,Ford Focus,1500,1
25,M0299X197RUS,Ford Focus,19200,1
26,M268CH197RUS,Toyota Camry,800,1
27,E445TC197RUS,Ford Focus,3400,0
28,8440XX154RUS,Ford Focus,6200,0
29,9371CE154RUS,Skoda Octavia,500,1
30,9182CE154RUS,Ford Focus,19800,1
31,8601XX154RUS,Skoda Octavia,1300,0
32,X286TC36RUS,Ford Focus,500,0
33,83298C154RUS,Ford Focus,100,1
34,Y7659C197RUS,Ford Focus,1500,1
35,C922YE197RUS,Volkswagen Golf,3800,1
36,E34877152RUS,Ford Focus,6100,1
37,9935TE152RUS,Ford Focus,2500,1
38,7364C8197RUS,Ford Focus,9000,1
39,M375CH197RUS,Ford Focus,18100,1
40,M5039X197RUS,Volkswagen,7400,1
41,8603T8154RUS,Ford Focus,1500,0
42,83218C154RUS,Ford Focus,100,0
43,9499KX178RUS,Ford Focus,2300,1
44,92928M178RUS,Ford Focus,1200,0
45,H232YH197RUS,Ford Focus,8600,0
46,O672E8197RUS,Skoda Octavia,63300,1
47,E42277152RUS,Ford Focus,10600,1
48,X767HY197RUS,Ford Focus,18000,1
49,C903MC161RUS,Volkswagen Jetta,1600,0
50,T7318T163RUS,Toyota Camry,12000,1
51,Y7719C197RUS,Ford Focus,9200,0
52,T011MY163RUS,Ford Focus,2000,0
53,H115YO163RUS,Ford Focus,2200,0
54,C420X938RUS,Ford Focus,3300,0
55,934497178RUS,Skoda Octavia,1900,1
56,X765HY197RUS,Ford Focus,13900,1
57,73467Y96RUS,Ford Focus,800,0
58,T6488M116RUS,Ford Focus,21000,1
59,O134HE197RUS,Ford Focus,22800,0
60,H968HY161RUS,Ford Focus,2400,0
61,Y654E8750RUS,Skoda Octavia,500,0
62,H963HY161RUS,Ford Focus,2800,1
63,H232YH197RUS,Ford Focus,8600,1
64,7843C8197RUS,Ford Focus,12300,1
65,X791O796RUS,Ford Focus,500,0
66,Y359O8197RUS,Ford Focus,2000,1
67,H958HY161RUS,Ford Focus,1800,0
68,X761HY197RUS,Ford Focus,18300,1
69,708587163RUS,Ford Focus,1400,1
70,Y358O8197RUS,Ford Focus,21800,1
71,Y973O8197RUS,Ford Focus,34800,1
72,9677MO178RUS,Ford Mondeo,1100,1
73,97977H178RUS,Ford Focus,1000,0
74,7066C8197RUS,Volkswagen Passat,3000,1
75,H917TC36RUS,Ford Focus,4000,1
76,7361C8197RUS,Ford Focus,800,0
77,92928M178RUS,Ford Focus,1200,1
78,X786CO96RUS,Ford Focus,1000,0
79,Y357O8197RUS,Ford Focus,2200,0
80,Y7709C197RUS,Ford Focus,500,0
81,E42377152RUS,Ford Focus,3000,0
82,8513XX154RUS,Ford Focus,1500,0
83,T6418M116RUS,Ford Focus,24600,1
84,T870X7163RUS,Skoda Octavia,2000,1
85,8818C877RUS,Volkswagen Passat,2500,0
86,T395OT197RUS,Volkswagen Touareg,4800,1
87,K327T8197RUS,Volkswagen Golf,20800,1
88,8311XX154RUS,Ford Focus,8600,1
89,X423MK197RUS,Ford Focus,14300,1
90,96429X178RUS,Ford Focus,2600,0
91,O275O7161RUS,Ford Focus,16600,1
92,7789KT197RUS,Ford Focus,12600,1
93,7248C8197RUS,Ford Mondeo,8600,0
94,O83697197RUS,Ford Focus,6100,1
95,E28877161RUS,Ford Focus,1000,0
96,T6068M116RUS,Ford Focus,1000,0
97,9498KX178RUS,Ford Focus,1600,1
98,9499KX178RUS,Ford Focus,2300,1
99,99209X178RUS,Skoda Octavia,500,0
100,T6449O50RUS,Ford Focus,12500,1
101,9683EC178RUS,Ford Focus,26000,1
102,Y353O8197RUS,Ford Focus,21800,1
103,O719MM163RUS,Ford Focus,2300,1
104,7784KT197RUS,Ford Focus,6600,1
105,E535MM199RUS,Volkswagen Touareg,500,0
106,H967HY161RUS,Ford Focus,4500,0
107,Y352O8197RUS,Ford Focus,103600,1
108,7788KT197RUS,Ford Focus,12000,1
109,Y351O8197RUS,Ford Focus,1500,1
110,T479KX197RUS,Ford Focus,12000,1
111,92788M178RUS,Ford Focus,300,0
112,E807HE77RUS,Ford Focus,4500,1
113,7197TT36RUS,Ford Focus,6800,0
114,M516CH161RUS,Ford Focus,1000,0
115,89587X197RUS,Toyota Camry,4400,0
116,7781KT197RUS,Ford Focus,600,1
117,E645TH36RUS,Ford Focus,2400,0
118,89587X197RUS,Toyota Camry,4400,1
119,Y302E877RUS,Ford Focus,500,0
120,M058XE36RUS,Skoda Octavia,8500,1
121,7830C8197RUS,Ford Focus,5100,0
122,8166XX154RUS,Ford Focus,2400,0
123,M589CH197RUS,Volkswagen,7900,1
124,9408H7178RUS,Skoda Octavia,1000,0
125,H387TM197RUS,Volkswagen Passat,1600,1
126,8049HT125RUS,Ford Focus,500,0
127,X015HY197RUS,Toyota Corolla,16000,1
128,T769OT197RUS,Volkswagen Golf,30900,1
129,9698MO178RUS,Volkswagen Golf,18400,1
130,8685HE154RUS,Ford Focus,1000,0
131,O83697197RUS,Ford Focus,6100,1
132,7177TT36RUS,Ford Focus,1000,0
133,O77997197RUS,Ford Focus,22400,0
134,X242EC197RUS,Volkswagen Golf,10600,0
135,Y234E877RUS,Ford Focus,500,0
136,K357YE77RUS,Volkswagen Golf,5000,0
137,97987H178RUS,Ford Focus,5000,1
138,X257HE161RUS,Ford Focus,10000,1
139,T479KX197RUS,Ford Focus,12000,0
140,T399KX197RUS,Ford Focus,10200,1
141,H957HY161RUS,Ford Focus,2000,0
142,K379HY161RUS,Volkswagen Golf,200,0
143,T654HT96RUS,Toyota Corolla,4000,0
144,E41977152RUS,Ford Focus,2400,1
145,8439XX154RUS,Ford Focus,4600,1
146,7194TT36RUS,Ford Focus,2300,0
147,Y965EE197RUS,Ford Focus,9600,1
148,X758HY197RUS,Ford Focus,24200,1
149,9464EX178RUS,Ford Focus,2100,0
150,M0279X197RUS,Ford Focus,180000,1
151,H224X836RUS,Ford Focus,3500,0
152,E6849O154RUS,Volkswagen Golf,200,0
153,Y273O8197RUS,Ford Focus,26300,1
154,O83797197RUS,Ford Focus,75900,1
155,7368C8197RUS,Ford Focus,4400,0
156,Y194O8161RUS,Ford Focus,900,0
157,H427YH197RUS,Volkswagen Passat,29700,1
158,9583EY178RUS,Ford Focus,4300,1
159,K376HE161RUS,Ford Focus,100,0
160,Y038E877RUS,Ford Focus,6500,1
161,9822H8161RUS,Ford Focus,100,0
162,7826C8197RUS,Ford Focus,3600,1
163,9467EX178RUS,Ford Focus,3700,1
164,E160YX77RUS,Ford Focus,2200,1
165,82337X197RUS,Ford Focus,2100,1
166,X757HY197RUS,Ford Focus,6800,1
167,X765HY197RUS,Ford Focus,13900,1
168,934497178RUS,Skoda Octavia,1900,1
169,T195OK161RUS,Ford Mondeo,6700,1
170,E41977152RUS,Ford Focus,2400,0
171,K2807K154RUS,Ford Focus,1000,0
172,T8008Y125RUS,Ford Focus,1000,1
173,9463EX178RUS,Ford Focus,1400,1
174,X765HY197RUS,Ford Focus,27800,1
175,Y960EE197RUS,Skoda Octavia,9000,0
176,7840C8197RUS,Ford Focus,7000,1
177,K846YE77RUS,Volkswagen Passat,2000,1
178,E40577152RUS,Ford Focus,500,0
179,7827C8197RUS,Ford Focus,7500,0
180,T394KX197RUS,Ford Focus,1500,0
181,Y655E8750RUS,Skoda Octavia,5200,1
182,H003MH197RUS,Ford Focus,2900,1
183,705787163RUS,Ford Focus,100,0
184,Y7699C197RUS,Ford Focus,15800,1
185,Y6829Y50RUS,Ford Focus,500,0
186,Y358O8197RUS,Ford Focus,21800,1
187,Y8399C197RUS,Ford Focus,1800,1
188,9135X938RUS,Ford Focus,4400,1
189,T654HT96RUS,Toyota Corolla,2000,1
190,H385TM197RUS,Volkswagen Passat,9500,0
191,M0299X197RUS,Ford Focus,9600,1
192,9428EX178RUS,Ford Focus,1000,0
193,H837YK197RUS,Audi,4200,1
194,O83597197RUS,Ford Focus,4000,1
195,E42577152RUS,Ford Focus,3700,1
196,E53277152RUS,Ford Focus,1000,0
197,98017H178RUS,Ford Focus,1500,0
198,K329T8197RUS,Skoda Octavia,13000,1
199,C476M7161RUS,Ford Focus,1500,1
200,9943KK197RUS,Ford Focus,29700,1
201,9679EC178RUS,Ford Focus,500,1
202,8165XX154RUS,Ford Focus,4900,0
203,T476KX197RUS,Ford Focus,1500,0
204,X242EC197RUS,Volkswagen Golf,10600,1
205,C422X938RUS,Ford Focus,10500,1
206,K328T8197RUS,Volkswagen Golf,300,0
207,9466EX178RUS,Ford Focus,800,1
208,X256HE161RUS,Ford Focus,2400,0
209,Y275O8197RUS,Ford Focus,3000,0
210,H218X836RUS,Ford Focus,17500,1
211,X255HE161RUS,Ford Focus,400,0
212,7370C8197RUS,Ford Focus,5000,1
213,M373CH197RUS,Ford Focus,6600,1
214,O02397197RUS,Volkswagen Jetta,4000,0
215,8165XX154RUS,Ford Focus,4200,1
216,E432XX77RUS,Toyota Camry,13000,1
217,7830C8197RUS,Ford Focus,10200,1
218,H217X836RUS,Ford Focus,2000,0
